"Id","Name","NativeName","Description","MainRuleset","LudiiRuleset","Reference","Origin","DLPGame","PublicGame","knownAliases","Author","Publisher","Date","ProprietaryGame","Credit","SeeAlso","BGGId","OriginPoint","EvidenceRange","WishlistGame","Notes","HelpUs","ForceRulesetInLud"
383,Gol Ekuish,,Gol Ekuish is a game from India with leaping captures like many others in South Asia and beyond. The board consists of seven concentric circles divided by three diameters.,401,401,Murray 1951: 71,India,1,1,Gol-skuish,,,,0,Eric Piette,,,"23°23'56.45""N, 80°3'40.59""E","5424,5424",0,,0,0
384,Grasshopper,,Grasshopper is a Halma variant played with a draughts set and published in 1948.,402,402,,,0,1,,,,,0,Eric Piette,,135478,,"0,5520",0,,0,0
385,Groups,,Groups was created by Richard Hutnik in 1998. It is a connection game with the goal of creating an orthogonally connected group of six.,403,403,,,0,1,,Richard Hutnik,,,0,Eric Piette,,30332,,"0,5520",0,,0,0
386,Pong Hau K'i,,"Pong Hau K'i is a blocking game documented during the nineteenth century East Asia, but medieval graffiti suggests that it may be even older.",404,404,Murray 1951: 92,Asia,1,1,"Horseshoe, On-Moul-Kono, Sua Tok Tong, Do Guti, Well Kono",,,"1998-00-00",0,Eric Piette,,,"23°7'44.51""N, 113°15'51.35""E","5395,5395",0,,0,0
387,Tawlbwrdd,,"Tawlbwrdd is a game in the tafl family mentioned in Peniarth Manuscript 158, describing a portion of the game as played in Wales during the sixteenth century.",593,405,Murray 1951: 62-63,Wales,1,1,,,,,0,Eric Piette,,,"52°33'27.86""N, 3°54'47.37""W","5087,5357",0,,0,0
388,Spots,,Spots was created by Cameron Browne for Ludii. It is played on a hexagonal board.,406,406,,,0,1,,Cameron Browne,Ludii,"2020-00-00",0,Eric Piette,,16324,,"0,5520",0,,0,0
389,Snowpaque,,Snopaque was creeted from the software AiAi. It is played on a hexagonal board.,407,407,,,0,1,,Stephen Tavener,,"2015-00-00",0,Eric Piette,,,,"0,5520",0,,0,0
390,Ploy,,Ploy was invented by Frank Thibault in 1970. It can be played by two or four players and the goal is to capture the opponent's Commander.,408,408,,,0,1,,Frank Thibault,"3M, Dujardin, Grow Jogos e Brinquedos, Schmid","1970-00-00",0,Eric Piette,,1591,,"0,5520",0,,0,0
392,Picaria,,"Picaria is a game played by the people of Isleta Pueblo in New Mexico in the early twentieth century, but likely to be older. This version is played on a smaller board.",585,587,Murray 1951: 42,Southwest United States,1,1,"Pitarilla, Bidaria",,,,0,Eric Piette,,,"34°54'28.55""N, 106°41'40.89""W","5407,5407",0,,0,0
393,Dai Hasami Shogi,,Dai Hasami Shogi is a Hasami Shogi variant played with Go pieces.,410,410,,Japan,0,1,,,,,0,Eric Piette,,38822,,"0,5520",0,,0,0
394,Fox and Geese,,"Fox and Geese is a game known from medieval Europe with a complicated history. Many different versions are known, and it spread to many places that encountered Europeans and was adopted in various places with local rules. It is still played today, and it was thought that during the medieval and early modern period it was played by poorer classes of people, at least in England. In general, it is a typical hunt game.",411,411,Murray 1951: 101–102,Europe,1,1,"Tods and Lambs, Renard et les Poules, Marelle Quintuple, Lupo e Pecore, Fuchs und Gänse, Hühner, Fuchs im Hünerhof, Schaap en Wolf, Räfspel, Volki Ovtsy",,,,0,Eric Piette,,10213,"50°49'45.49""N, 2°22'11.32""W","5133,5301",0,,0,0
395,Li'b al-'Aqil,,"Li'b al-'Aqil (""game of the wise"") is a two-row mancala-style board game from Egypt. It allows one player to distribute the counters as they wish, and the opponent to swap the board around if they do not like the result.",412,412,Murray 1951: 167.,Egypt,1,1,"Mankala, Leab el-'Akil",,,,0,Eric Piette,,,"28°0'3.1""N, 27°37'57.98""E","5336,5336",0,,0,0
396,Castello,,"Invented by Carl Renström in 1971, Castello is a game in which players must capture certain spaces on the board, known as ""castles.""",413,413,"Le Livre des Jeux de Pions, Michel Boutin, Page 41",,0,1,,Carl Renström,"Alga, Brio AB","1971-00-00",0,Eric Piette,,24896,,"0,5520",0,,0,0
397,Press Ups,,Press Ups was invented in 1974 by Yigal Bogoslavski.,414,414,,,0,1,"Au Plus Fin, Basis 10, Brain Fight, Drück Fix, Drückfix, Mako 10 sur 10, Touch and Go, Touch Down",Yigal Bogoslavski,Invicta Games Clipper Irwin Toy Ltd. Mako Par,"1974-00-00",0,Eric Piette,,9929,,"0,5520",0,,0,0
398,Kharbaga,,"Kharbaga is a game played in North Africa, and is related to similar games played there that are similar to Alquerque. The board is a five by five grid.",415,415,Hamidoun 1952: 68.,North Africa,1,1,"",,,,0,Eric Piette,,109797,"15°57'50.04""N, 9°15'44.63""W","5452,5512",0,,0,0
400,Camelot,,Camelot is a Chess variant invented by George Parker in the late nineteenth century and published by Parker Brothers.,416,416,"Le Livre des Jeux de Pions, Michel Boutin, Page 38",,0,1,"Chivalry, Inside Moves",George S. Parker,"The Game Crafter, LLC, John Waddington Ltd.,","1930-00-00",0,Eric Piette,,5251,,"0,5520",0,,0,0
401,Salta,,Salta was invented by Konrad Heinrich Büttgenbach in 1899. It is related to Halma.,417,417,,,0,1,,Konrad Büttgenbach,,"1899-00-00",0,Eric Piette,,18683,,"0,5520",0,,0,0
402,Tic-Tac-Four,,Tic-Tac-Four is a Tic-Tac-Toe variant invented by Matthew Stephenson for Ludii.,418,418,,,0,1,,Matthew Stephenson,,"2020-00-00",0,Matthew Stephenson,,,,"0,5520",0,,0,0
403,Ataxx,,Ataxx is an arcade game invented in 1990 by the Leland Corporation and was originally called Infection.,419,419,,,0,1,Infection,"Dave Crummack, Craig Galley","Capcom Co., Ltd., Leland Corporation, Virgin","1990-00-00",0,Eric Piette,,91313,,"0,5520",0,,0,0
404,Yovodji,,"Yovodji is a game observed in Dahomey during the early twentieth century. It was a game played typically by women, often played during funerals.",420,420,,,1,1,,,,,0,Eric Piette,,,"10°6'4.71""N, 2°15'18.7""E","5455,5455",0,,0,0
405,Enindji,,"Enindji is a two-row mancala-style board game that was documented in Dahomey in the early twentieth century. It is similar to other games in the region like Oware, but has a unique capture where the owner of the hole, rather than the person sowing, captures the counters.",421,421,,Benin,1,1,Eninji,,,,0,Eric Piette,,,"9°58'28.28""N, 1°26'28.59""E","5455,5455",0,,0,0
406,Fondji,,"Fondji is a two-row mancala-style board game that was played in Dahomey in the early twentieth century. It is similar to other two-row mancala games from the region, like Oware.",422,422,,Benin,1,1,,,,,0,Eric Piette,,,"9°27'23.42""N, 1°26'24.83""E","5455,5455",0,,0,0
407,Woli,,Woli is a two-row mancala-style game played in the Senegal Valley of West Africa. It was popular among young married women.,423,423,,West Africa,1,1,,,,,0,Eric Piette,,,"15°50'24.98""N, 16°15'55.67""W","5455,5455",0,,0,0
408,Manddiare,Manddiaré,"Manddiaré is a two-row mancala-style board game played in Mauritania but women amd young girls. Sometimes boys would play it to get to know girls, but this would not occur in public spaces.",424,424,Silva 1995: 235.,Mauritania,1,1,,,,,0,Eric Piette,,,"17°32'57.23""N, 14°41'44.57""W","5455,5455",1,,0,0
409,Foji,,Foji is a two-row mancala-style board game oberved in Dahomey during the early twentieth century. It is similar to other two-row mancala games from West Africa.,425,425,,Benin,1,1,,,,,0,Eric Piette,,,"7°28'55.27""N, 2°31'58.47""E","5455,5455",0,,0,0
410,Kapana Bona,,"Kapana Bona is a two-row mancala-style board game played by the Gourounsi people in West Africa. Instead of being played on a board, the counters are placed in heaps on the ground.",426,426,,,1,1,,,,,0,Eric Piette,,,"11°5'59.69""N, 2°6'0.54""W","5455,5455",0,,0,0
411,Oure Ngat,Ouré Ngat,"Ouré Ngat is a two-row mancala-style board game played in Senegal during the early twentieth century. It is not typically played on a board; instead, the counters are arranged in heaps on the ground.",427,427,,,1,1,Uré Ngat,,,,0,Eric Piette,,,"14°45'36.47""N, 17°22'17.61""W","5455,5455",0,,0,0
412,Wore,Wöré,"Wöré was observed in the early twentieth century in St. Louis, Senegal. It was considered a game for women, and in some families it is forbidden for young girls and uncircumcised boys to play it.",428,428,,West Africa.,1,1,Weuré,,,,0,Eric Piette,,,"16°1'57.36""N, 16°28'54.60""W","5455,5455",0,,0,0
413,Namudilakunze,,Namudilakunze is a four-row mancala-style board game played by the Ba-Ila people of Zambia. It was played there in the early twentieth century.,429,429,Murray 1951: 210.,,1,1,Chisolo,,,,0,Eric Piette,,,"16°3'40.73""S, 25°44'27.02""E","5420,5420",0,,0,1
414,Mandoli,,Mandoli is a two-row mancala-style game board documented on the island of Hydra in Greece in the early nineteenth century.,430,,Murray 1951: 166.,Greece,1,1,,,,,0,Eric Piette,,39491,"37°21'2.62""N, 23°28'57.14""E","5310,5310",1,,0,0
415,Mawkar Katiya,,Mawkar Katiya is a two-row mancala-style board game that was played by the Khasi people of India in the early part of the twentieth century.,431,431,Murray 1951: 169.,,1,1,,,,,0,Eric Piette,,,"26°11'42.3""N, 90°8'37.77""E","5423,5423",0,,0,0
416,Kanji Guti,,Kanji Guti is a two-row mancala-style board game that is played in the Orissa region of India. Is was documented in the early twentieth century.,432,432,Murray 1951: 169.,,1,1,,,,,0,Eric Piette,,,"18°44'57.12""N, 82°10'5.43""E","1577,5423",0,"The ending condition is impossible to reach when only pieces are in the middle column. Noone can play it and the game is never over. 

The ending condition should be ""The game ends when both players are not able to make a move"". Probably an error in the original manuscrit.",0,0
417,Motiq,,Motiq is a two-row mancala-style board game played by the Kédang people on the island of Lembata in Indonesia. ,433,433,,,1,1,,,,,0,Eric Piette,,,"8°17'39.89""S, 123°34'58.05""E","5475,5475",0,,0,0
418,O An Quan,,O An Quan is a two-row mancala-style board game played by children in Vietnam.,434,434,,,1,1,,,,,0,Eric Piette,,,"21°27'40.46""N, 104°50'34.45""E","5431,5431",1,,0,0
419,Katra,,Katra is a four-row mancala-style game board played in Madagascar. This version was observed being played by the Sakalava people in the early twentieth century.,435,435,,,1,1,,,,,0,Eric Piette,,,"22°49'1.77""S, 43°39'51""E","5452,5452",0,,0,1
420,Vai Lung Thlan,Vai Lung Thlān,"Vai Lung Thlān is a two-row mancala-style board game played by the Mizo people of India, Bangladesh, and Myanmar.",436,436,Murray 1951: 169.,,1,1,,,,,0,Eric Piette,,39620,"24°59'15.87""N, 94°37'54.14""E","5412,5412",0,,0,0
421,Unnee Tugalluulax,,"Unnee Tugullalax is a two-row mancala-style board game from Mongolia. It is typically played with camel droppings on a board. The game is imbued with the symbolism of the cycle of reproduction of a cow, as a hole fills with counters it progresses along the cycle of reproduction until it has four counters, when the calve is produced and the four counters are captured.",640,437,"<a href=""https://mancala.fandom.com/wiki/%C3%9Cnee_Tugalluulax"" target=""_blank"" class=""style1"" style=""color: #0000EE"" />mancala.fandom.com</a>",Mongolia,1,1,Unee Tugaluulax,,,,0,Eric Piette,,39619,"49°53'33.6""N, 107°28'48.5""E","5474,5474",0,,0,0
422,Bay Khom,Bày Khòm,"Bày Khòm is a two-row mancala-style board game from Cambodia. It was observed in the mid-twentieth century, but it is possible that Khmer texts from the middle ages mention it as ""khbal camuon.""",438,438,,Cambodia,1,1,,,,,0,Eric Piette,,,"13°10'27.62""N, 107°0'19.33""E","5440,5445",0,,0,0
423,Waurie,,"Waurie is a two-row mancala-style board game from the Cayman Islands. This game does not involve captures, and players attempt to empty their row of holes to win.",439,439,"<a href=""https://mancala.fandom.com/wiki/Waurie "" target=""_blank"" class=""style1"" style=""color: #0000EE"" />mancala.fandom.com</a>",Cayman Islands,1,1,Island Wari,,,,0,Eric Piette,,189626,"19°18'20.56""N, 81°14'29.89""W","5485,5495",0,,0,0
424,Atari Go,,Atari Go is a simplified version of Go where the first person to capture a stone wins.,440,440,,,0,1,,,,,0,Eric Piette,,,,"0,5520",0,,0,0
425,Conspirateurs,,"Conspirateurs is a game resembling Halma. R.C. Bell claimed that it was invented around the time of the French Revolution, but this may have been speculation.",441,441,"Bell, R. C. (1983). ""Conspirators"". The Boardgame Book. Exeter Books. pp. 128–29.",,0,1,Conspirators,,,,0,Eric Piette,,60707,,"0,5520",0,,0,0
426,Feed the Ducks,,"Feed the Ducks was invented in 2011 by Néstor Romeral Andrés.
It is a game played on a hexagonal board where the goal is to group all of a player's pieces together.",442,442,,,0,1,,Néstor Romeral Andrés,"<a href=""https://www.nestorgames.com"" target=""_blank"" class=""style1"" style=""color: #0000EE"" />nestorgames</a> (used with permission)","2011-00-00",0,Eric Piette,,112532,,"0,5520",0,,0,0
427,HexDame,,HexDame is a Draughts game played on a Hex board invented by Christian Freeling in 1979.,443,443,,,0,1,,Christian Freeling,,"1979-00-00",0,Eric Piette,,24697,,"0,5520",0,,0,0
428,L'attaque,,"L'attaque was designed by Hermance Edan in France in 1908, and was an early predecessor of Stratego.",444,444,"<a href=""https://boardgamegeek.com/image/3535261/lattaque"" target=""_blank"" class=""style1"" style=""color: #0000EE"" />BGG</a>",France,0,1,,,,,0,Eric Piette,,9246,,"0,5520",0,,0,0
429,Manalath,,Manalath was invented in 2012 by Dieter Stein and Néstor Romeral Andrés. It is a Yavalath-like game in which the players must create a group of five without first making a group of four.,445,445,,,0,1,,Dieter Stein Néstor Romeral Andrés,"<a href=""https://www.nestorgames.com"" target=""_blank"" class=""style1"" style=""color: #0000EE"" />nestorgames</a> (used with permission)","2012-00-00",0,Eric Piette,,127993,,"0,5520",0,,0,0
430,Odd,,Odd was invented in 2007 by Nick Bentley. It is played on a hexagonal board.,446,446,,,0,1,Dustin,Nick Bentley,,"2007-00-00",0,Eric Piette,,28527,,"0,5520",0,,0,0
431,Omega,,Omega was invented by Néstor Romeral Andrés in 2010. It is described as a cross between Hex and Go.,447,447,,,0,1,,Néstor Romeral Andrés,"<a href=""https://www.nestorgames.com"" target=""_blank"" class=""style1"" style=""color: #0000EE"" />nestorgames</a> (used with permission)","2010-00-00",0,Eric Piette,,81588,,"0,5520",0,,0,0
432,Pentalath,,"Pentalath was invented by Cameron Browne in 2009. It is a connection game with the goal of creating a group of five in a row, but with complications.",448,448,,,0,1,,Cameron Browne,"<a href=""https://www.nestorgames.com"" target=""_blank"" class=""style1"" style=""color: #0000EE"" />nestorgames</a> (used with permission)","2009-00-00",0,Eric Piette,,51401,,"0,5520",0,,0,0
433,Quantum Leap,,Quantum Leap was invented in 2013 by Néstor Romeral Andrés. It can be played on a hexagonal grid of any size.,449,449,,,0,1,,Néstor Romeral Andrés,"<a href=""https://www.nestorgames.com"" target=""_blank"" class=""style1"" style=""color: #0000EE"" />nestorgames</a> (used with permission)","2013-00-00",0,Eric Piette,,140782,,"0,5520",0,,0,0
434,Spline,,Spline was invented in 2011 by Néstor Romeral Andrés. It is a game of alignment in which marbles are stacked on top of one another.,450,450,,,0,1,,Néstor Romeral Andrés,"<a href=""https://www.nestorgames.com"" target=""_blank"" class=""style1"" style=""color: #0000EE"" />nestorgames</a> (used with permission)","2011-00-00",0,Eric Piette,,93164,,"0,5520",0,,0,0
435,Susan,,Susan was invented by Stephem Linhart in 1991. It is played on a hexagonal board.,451,451,,,0,1,,Stephen Linhart,,"1991-00-00",0,Eric Piette,,26135,,"0,5520",0,,0,0
436,Yavalade,,Yavalade was invented in 2012 by Néstor Romeral Andrés. It is a derivative of Yavalath.,452,452,,,0,1,,Néstor Romeral Andrés,"<a href=""https://www.nestorgames.com"" target=""_blank"" class=""style1"" style=""color: #0000EE"" />nestorgames</a> (used with permission)","2012-00-00",0,Eric Piette,,126644,,"0,5520",0,,0,0
437,Yavalanchor,,Yavanalanchor is a Yavalath derivative invented by Néstor Romeral Andrés in 2012.,453,453,,,0,1,,Néstor Romeral Andrés,"<a href=""https://www.nestorgames.com"" target=""_blank"" class=""style1"" style=""color: #0000EE"" />nestorgames</a> (used with permission)","2012-00-00",0,Eric Piette,,126653,,"0,5520",0,,0,0
438,Manzhouqi,Mǎnzhōuqí,"Manzhouqi is a game described by Xu Ke, a Qing Dynasty historian, who sayus it was played in Manchuria. It is similar to Xiangqi, and each player plays with different pieces.",454,454,,Manchuria,1,1,,,,,0,Eric Piette,,,"40°34'8.2""N, 122°47'22.86""E","5369,5412",0,,0,0
439,Chess Puzzle,,"In this Chess Puzzle, you must checkmate the black king with the smallest number of moves possible with the white pieces.",455,455,,,0,1,,,,,0,Eric Piette,,,,"0,5520",0,,0,0
440,Shogi Puzzle,,"Shogi puzzles are known in some of the earliest texts about the game. The are similar to Chess puzzles, where players are given a scenario on the Shogi board to solve.",456,456,"Glance Shogi Series, Ending Attack at a Glance, Madoka Kitao",,0,1,,,,,0,Eric Piette,,,,"0,5520",0,,0,0
441,Maharajah Chess,,Maharajah Chess is a Chess variant known since the nineteenth century.,457,457,,India,0,1,"Maharajah and the Sepoys, Shatranj Diwana Shah, Mad King's Game",,,,0,Eric Piette,,34317,,"0,5520",0,,0,0
442,Amazon Chess,,"Amazon Chess is a version of Chess where the queen also has the movement ability of a Chess knight. The queen is known instead as an ""amazon.""",458,458,,,0,1,,,,,0,Eric Piette,,,,"0,5520",0,,0,0
443,Safe Passage,,"Safe Passage is a Chess puzzle created by Matthew Stephenson, inspired by the Safe Passage puzzle created by Karen Robinson.",459,459,,,0,1,,Matthew Stephenson,,,0,,,,,"0,5520",0,,0,0
444,Horde Chess,,Horde Chess is a Chess variant in which one player plays with a standard set of pieces and the other plays with 32 pawns.,460,460,,,0,1,,,,,0,Eric Piette,,,,"0,5520",0,,0,0
445,Loop Chess,,Loop Chess is a Chess variant that borrows incorporates the reintroduction of captured pieces into Chess.,461,461,,,0,1,,,,,0,Eric Piette,,,,"0,5520",0,,0,0
446,Los Alamos Chess,,Los Alamos Chess is a Chess variant played on a 6x6 board without bishops. It was the first Chess game played by a computer program at the Los Alamos Scientific Laboratory in 1956.,462,462,,,0,1,Anti-clerical Chess,Paul Stein and Mark Wells,,"1956-00-00",0,Eric Piette,,43712,,"0,5520",0,,0,0
448,Minishogi,,Minishogi was invented in 1970 by Shigenobu Kusumoto. It is a Shogi variant with fewer pieces nd played on a 5x5 board.,463,463,,Japan,0,1,,Shigenobu Kusumoto,,"1970-00-00",0,Eric Piette,,28389,,"0,5520",0,,0,0
449,Taikyoku Shogi,,"Taikyoku Shogi is the largest known Shogi variant, with 804 total pieces on the board. It is first documented in Japan in the Shogi Zushiki, which is reportedly from the seventeenth century.",464,464,,Japan,1,1,,,,,0,Eric Piette,,91365,"35°20'3.84""N, 136°13'48.5""E","5103,5368",0,,0,0
450,Janggi,,"Janggi is played in Korea and is very similar to other games derived from Indian Chaturanga throughout East Asia. It is very popular in Korea, and international tournaments are becoming more popular.",465,465,Murray 1913: 134–137,Korea,1,1,"Korean Chess, Tjyang-keui, Changgi, Jangki",,,,0,Eric Piette,,5400,"34°45'49.99""N, 127°19'17.51""E","5395,5395",0,,0,0
451,Chameleon,,"Invented by Randy Cox and Bill Taylor, Chameleon is a Hex variant",466,466,"C. Browne (2005), Connection Games: Variations on a Theme, AK Peters, Massachusetts (ISBN 1568812248).",,0,1,,"Randy Cox (I), Bill Taylor",,"2003-00-00",0,Eric Piette,,17576,,"0,5520",0,,0,0
452,Gonnect,,"Gonnect was invented by João Pedro Neto in 2000. It is played with a Go board and pieces, with the goal of creating a group that connects two opposite sides of the board.",467,467,,,0,1,,João Pedro Neto,,"2000-00-00",0,Eric Piette,,12146,,"0,5520",0,,0,0
453,Kaooa,,"Kaooa is a hunt game documented in the early twentieth century in India, but it is probably much older, as graffiti with the pattern of the board have been found at sites such as medieval Vijayanagara.",468,468,Murray 1951: 112,India,1,1,,,,,0,Eric Piette,,,"23°23'56.45""N, 80°3'40.59""E","5424,5424",0,,0,0
458,EinStein Wurfelt Nicht,EinStein Würfelt Nicht,"EinStein Würfelt Nicht! (Einstein does not play dice) is a board game, designed by Ingo Althöfer, a professor of applied mathematics in Jena, Germany. It was the official game of an exhibition about Einstein in Germany during the Einstein Year (2005).

The name of the game in German has a double meaning. It is a play on Einstein's famous quote ""I am convinced that He (God) does not play dice"" and also refers to the fact that when a player has only one cube (ein Stein) remaining, they no longer need to ""play dice"", and may simply move the cube.",472,472,,,0,1,,Ingo Althöfer,"3-Hirn-Verlag","2004-00-00",0,Eric Piette,,18699,,"0,5520",0,,0,0
475,Frisian Draughts,,"Frisian Draughts is a game from the Draughts/Checkers family that was particularly popular in Friesland, in the Netherlands.",489,489,,Netherlands,1,1,Molkwerums Dams,,,,0,A. Sambruni and Eric Piette,,,"52°54'2.01""N, 5°23'56.03""E","5225,5225",0,,0,1
476,Mahjong,,Mahjong is a tile game invented in China which has become popular throughout the world. It is thought to originate in card games played in 18th and 19th century China.,490,490,,,0,1,,,,,0,,,2093,,"0,5520",1,,0,0
478,Dice Shogi,,Dice Shogi is a recently invented Shogi variant. It is essentially Mini Shogi played with dice determining the players' moves.,492,492,"<a href=""http://minerva.cs.uec.ac.jp/cgi-bin/uec55shogi/wiki.cgi?page=The+Rule+of+Dice%2DShogi"" target=""_blank"" class=""style1"" style=""color: #0000EE"" />minerva.cs.uec.ac.jp</a>",,0,1,,,,,0,Eric Piette,,,,"0,5520",0,,0,0
479,Domineering,,"Domineering is a mathematical game, typically played on a sheet of paper with a grid, and with dominoes. Players take turns placing dominoes until one can no longer play.",493,493,"<a href=""https://en.wikipedia.org/wiki/Domineering"" target=""_blank"" class=""style1"" style=""color: #0000EE"" />Wikipedia</a>",,0,1,"Stop Gate, Crosscram",,,,0,Eric Piette,,7450,,"0,5520",0,,0,0
507,Hyvn aetter Hare,Hyvn ætter Hare,"Hyvn ætter Hare is a blackade game played on Funen Island in Denmark. One player plays as the hare, and the other as three hounds, which attempt to trap the hare. ",521,521,Michaelsen 2014: 204.,Scandinavia,1,1,,,,,0,Eric Piette,,,"55°19'51.07""N, 10°3'17.28""E","5360,5360",0,,0,0
509,Len Choa,,"Len Choa is a game that was documented from Thailand in the early nineteenth century. It was incompletely described, but it appears to be similar to hunt games popular in South and Southeast Asia.",523,523,Murray 1951: 106.,,1,1,,,,,0,,,25918,"14°22'25.85""N, 102°54'39.02""E","5336,5336",1,,0,0
517,Ho-Bag Gonu,,"Ho-Bag Gonu is a Korean game with an uncertain history. It is a blockade game, similar to others found throughout Asia.",573,573,"",,0,1,,,,,0,Eric Piette,,,,"0,5520",0,,0,0
518,NoGo,,"NoGo is a combinatorial game for two players: Black and White. It's played on the intersections (points) of an initially empty square or rectangular board. Board sizes bigger than 9x9 are not recommended. 6x7 boards have been used in some human matches.

NoGo takes the Go concepts of group and liberty and uses them in the most minimalistic possible way. The resulting game, with no captures, no cycles and no scoring, is no rival for Go, but remains a fertile ground for tactical challenges in the Dots and Boxes style.",580,580,,,0,1,,John Moore (II),,"2005-04-00",0,Eric Piette,,151419,,"0,5520",0,,0,0
519,Trax,,Trax is a two player abstract strategy game of loops and lines. It can be played on any flat surface (no board). The square tiles have straights on one side and curves on the other.,545,545,,,0,1,,David L. Smith,Bandai,"1980-00-00",0,Eric Piette,,748,,"0,5520",0,,0,0
520,Pushing Me XO,,"Pushing Me XO, a strategic game for brain training while playing to find the ways to connect and creates the line with cubes to win the game in horizontally, vertically or diagonal.",547,547,,,0,1,,,BSiri Games & Puzzles,,0,Eric Piette,,,,"0,5520",0,,0,0
521,Symbol S.2,,Game created by Ludii team as a test.,595,595,,,0,1,,,,,0,Eric Piette,,,,"0,5520",0,,0,0
522,Kensington,,"Kensington is an abstract strategy board game devised by Brian Taylor and Peter Forbes in 1979, named after London's Kensington Gardens, which contains the mosaic upon which the gameboard is patterned. It is played on a geometrical board based on the rhombitrihexagonal tiling pattern.",548,548,,,0,1,,Brian Taylor and Peter Forbes,,"1979-00-00",0,Eric Piette,,2197,,"0,5520",0,,0,0
523,Lotus,,,550,550,,,0,1,,,,,0,Eric Piette,,2348,,"0,5520",0,,0,0
524,Capture the Queen,,,549,549,,,0,1,,,,,0,Eric Piette,,,,"0,5520",0,,0,0
525,Chex,,,551,551,,,0,1,Chess Cards,David L. Smith,IQ Products,"1982-00-00",0,Eric Piette,,13042,,"0,5520",0,,0,0
526,Social Distance Chess,,"Social Distance Chess was inspired by the COVID-19 pandemic, during which many of the games in Ludii were implemented. It models social distancing principles in a Chess-like game.",552,552,,"Maastricht, the Netherlands",0,1,,Cameron Browne and Walter Crist,,"2020-03-25",0,Cameron Browne and Eric Piette,,,,"0,5520",0,,0,0
528,Boseog Gonu,,Boseog Gonu is a Korean game of capture of uncertain history.,594,594,"<a href=""http://www.nol2i.com/s_5/s_51/bosuk-2.htm"" target=""_blank"" class=""style1"" style=""color: #0000EE"" />nol2i</a>",,0,1,,,,,0,Eric Piette,,,,"0,5520",0,,0,0
529,Triad,,"Triad is an abstract board game for three players which features an interesting move mechanic; the players dictate move order as the game progresses. It arose out of discussions with Joao Neto and Bill Taylor in November 2002.

The game is played on a tricoloured hexagonal grid with five cells per side. The three players are called Red, Green and Blue, and each player owns the cells and the pieces that bear their colour.",553,553,,,0,1,,Cameron Browne,"<a href=""https://www.nestorgames.com"" target=""_blank"" class=""style1"" style=""color: #0000EE"" />nestorgames</a>, Pancerola (used with permission)","2002-00-00",0,Eric Piette,,251722,,"0,5520",0,,0,0
530,Block,,"One of the most commonly played Dominoes game, Block uses most of the rules shared by other Dominoes games worldwide.",554,554,,,0,1,"Block Dominoes, the Block Game, Allies",,,,0,Eric Piette,,131140,,"0,5520",0,,0,0
531,Three-Player Hex,,,555,555,,,0,1,,Thomas Sibley,,"1975-01-01",0,,,,,"0,5520",0,,0,0
532,Jekab,,"Jekab is a Draughts game played in the Marshall Islands. It appears to be a derivative of American Pool Checkers, which is identical except for the promotion of the king.",561,561,"",Mershall islands,1,1,Marshallese Checkers,,,,0,Eric Piette,,,"7°5'29.06""N, 171°22'55.40""E","5517,5518",0,,0,0
533,Ja-Jeon-Geo-Gonu,,Ja-Jeon-Geo-Gonu is a Korean game of uncertain history.,574,574,"<a href=""http://www.nol2i.com/s_5/s_51/bike1-2.htm"" target=""_blank"" class=""style1"" style=""color: #0000EE"" />nol2i</a>",,0,1,"자전거고누, Bicycle Game",,,,0,Eric Piette,,,,"0,5520",0,,0,0
534,Morra,,Morra is a hand game of uncertain history from the Mediterranean region.,600,600,"<a href=""https://en.wikipedia.org/wiki/Morra_(game)"" target=""_blank"" class=""style1"" style=""color: #0000EE"" />Wikipedia</a>",Mediterranean region,0,1,,,,,0,Eric Piette,,,,"0,5520",0,,0,0
537,Tic-Tac-Chess,,,602,602,"Scot Morris, 'Omni Games', 1983: 13.",,0,1,,Michael Waitsman,,,0,Cameron Browne,,,,"0,5520",0,,0,0
538,Portes,,"Portes is a game that is closely similar to Backgammon played in the eastern Mediterranean. It is frequently played as part of Tavli, where it is played in succession with Plakoto and Fevga.",603,603,,,1,1,,,,,0,Eric Piette,,,"35°30'49.50""N, 24°1'5.40""E","5494,5496",0,,0,0
539,Tavli,,"Tavli is played in the eastern Mediterranean, particularly Greece and Cyprus, where the games Portes, Plakoto, and Fevga are played in succession.",605,605,,eastern Mediterranean,1,1,Tavla,,,,0,,,,"35°30'49.50""N, 24°1'5.40""E","5494,5496",0,,0,0
541,Game of Solomon,,Small draughts-like game invented by Martin Gardner on an unusual board.,604,604,,,0,1,,Martin Gardner,"Kadon Enterprises (<a href=""http://www.gamepuzzles.com"" target=""_blank"" class=""style1"" style=""color: #0000EE"" />gamepuzzles</a>)","1985-00-00",0,Cameron Browne,,12702,,"0,5520",0,,0,0
542,Wagner,,"Wagner is a two-player graph theory game based on the Wagner graph, which is a Mobius ladder with 8 vertices. In this graph, the diameter and the radius are both equal to 2.  
",614,614,,,0,1,,Tahmina Begum,,"2020-04-25",0,Tahmina Begum,,,,"0,5520",0,,0,0
